gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-clutter-3.0:amd64	3.0.27-4build1
gstreamer1.0-gl:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-good:amd64	1.24.2-1ubuntu1.5
gstreamer1.0-x:amd64	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine:amd64	0.98.2-4
gvfs:amd64	1.54.4-0ubuntu1~24.04.2
gvfs-backends	1.54.4-0ubuntu1~24.04.2
gvfs-common	1.54.4-0ubuntu1~24.04.2
gvfs-daemons	1.54.4-0ubuntu1~24.04.2
gvfs-libs:amd64	1.54.4-0ubuntu1~24.04.2
gzip	1.12-1ubuntu3.2
hdparm	9.65+ds-1build1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
htop	3.3.0-4build1
humanity-icon-theme	0.6.16
hunspell-en-us	1:2020.12.07-2
hwdata	0.379-1
i965-va-driver:amd64	2.4.1+dfsg1-1ubuntu0.2
ibus	1.5.29-2
ibus-data	1.5.29-2
ibus-gtk:amd64	1.5.29-2
ibus-gtk3:amd64	1.5.29-2
ibus-gtk4:amd64	1.5.29-2
ibverbs-providers:amd64	50.0-2ubuntu0.2
ieee-data	20220827.1
im-config	0.57-2
imagemagick	8:6.9.12.98+dfsg1-5.2build2
imagemagick-6-common	8:6.9.12.98+dfsg1-5.2build2
imagemagick-6.q16	8:6.9.12.98+dfsg1-5.2build2
indicator-applet	12.10.2+20.10.20200915-0ubuntu4
indicator-application	12.10.1+19.04.20190308.1-0ubuntu5
indicator-appmenu	15.02.0+20.10.20200617.2-0ubuntu4
indicator-bluetooth	0.0.6+17.10.20170605-0ubuntu5
indicator-common	16.10.0+18.04.20180321.1-0ubuntu8
indicator-datetime	15.10+21.04.20210304-0ubuntu6
indicator-keyboard	0.0.0+19.10.20220803-0ubuntu3.1
indicator-messages	13.10.1+18.10.20180918-0ubuntu7
indicator-power	12.10.6+17.10.20170829.1-0ubuntu9
indicator-printers	0.1.7+17.10.20171101-0ubuntu7
indicator-session	17.3.20+21.10.20210613.1-0ubuntu3
indicator-sound	12.10.2+18.10.20180612-0ubuntu7
inetutils-telnet	2:2.5-3ubuntu4.2
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.8
initramfs-tools-bin	0.142ubuntu25.8
initramfs-tools-core	0.142ubuntu25.8
install-info	7.1-3build2
intel-media-va-driver:amd64	24.1.0+dfsg1-1ubuntu0.2
intel-microcode	3.20260210.0ubuntu0.24.04.1
ipp-usb	0.9.24-0ubuntu3.3
iproute2	6.1.0-1ubuntu6.4
iptables	1.8.10-3ubuntu2
iputils-ping	3:20240117-1ubuntu0.1
iputils-tracepath	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
iucode-tool	2.3.1-3build1
java-common	0.75+exp1
jayatana	2.7-0ubuntu8
jq	1.7.1-3ubuntu0.24.04.2
kbd	2.6.4-2ubuntu2
keyboard-configuration	1.226ubuntu1.1
keyboxd	2.4.4-2ubuntu17.6
keyutils	1.6.3-3build1
klibc-utils	2.0.13-4ubuntu0.2
kmod	31+20240202-2ubuntu7.2
kpartx	0.9.4-5ubuntu8.2
krb5-locales	1.20.1-6ubuntu2.8
landscape-common	24.02-0ubuntu5.7
less	590-2ubuntu2.1
libaa1:amd64	1.4p5-51.1
libaacs0:amd64	0.11.1-2build1
libabsl20220623t64:amd64	20220623.1-3.1ubuntu3.2
libaccounts-glib0:amd64	1.26-1build3
libaccountsservice0:amd64	23.13.9-2ubuntu6.1
libacl1:amd64	2.3.2-1build1.1
libadwaita-1-0:amd64	1.5.0-1ubuntu2
libafflib0t64:amd64	3.7.20-1.1ubuntu5
libaio1t64:amd64	0.3.113-6build1.1
libaom3:amd64	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5:amd64	1.0.2-1build6
libapt-pkg6.0t64:amd64	2.8.3
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libargon2-1:amd64	0~20190702+dfsg-4build1
libasound2-data	1.2.11-1ubuntu0.3
libasound2-plugins:amd64	1.2.7.1-1ubuntu5
libasound2t64:amd64	1.2.11-1ubuntu0.3
libaspell15:amd64	0.60.8.1-1build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatasmart4:amd64	0.19-5build3
libatk-bridge2.0-0t64:amd64	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni:amd64	0.40.0-3build2
libatk1.0-0t64:amd64	2.52.0-1build1
libatkmm-1.6-1v5:amd64	2.28.4-1build4
libatm1t64:amd64	1:2.5.1-5.1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libatspi2.0-0t64:amd64	2.52.0-1build1
libattr1:amd64	1:2.5.2-1ubuntu0.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libavahi-client3:amd64	0.8-13ubuntu6.2
libavahi-common-data:amd64	0.8-13ubuntu6.2
libavahi-common3:amd64	0.8-13ubuntu6.2
libavahi-core7:amd64	0.8-13ubuntu6.2
libavahi-glib1:amd64	0.8-13ubuntu6.2
libavc1394-0:amd64	0.5.4-5build3
libavcodec60:amd64	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5
libavutil58:amd64	7:6.1.1-3ubuntu5
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0:amd64	0.10.1-1build2
libayatana-indicator3-7:amd64	0.9.4-1build1
libb2-1:amd64	0.98.1-1.1build1
libbamf3-2t64:amd64	0.5.6+22.04.20220217-0ubuntu5
libbcg729-0:amd64	1.1.1-2build1
libbdplus0:amd64	0.2.0-3build1
libbfio1:amd64	20170123-6
libblkid1:amd64	2.39.3-9ubuntu6.6
libblockdev-crypto3:amd64	3.1.1-1ubuntu0.1
libblockdev-fs3:amd64	3.1.1-1ubuntu0.1
libblockdev-loop3:amd64	3.1.1-1ubuntu0.1
libblockdev-mdraid3:amd64	3.1.1-1ubuntu0.1
libblockdev-nvme3:amd64	3.1.1-1ubuntu0.1
libblockdev-part3:amd64	3.1.1-1ubuntu0.1
libblockdev-swap3:amd64	3.1.1-1ubuntu0.1
libblockdev-utils3:amd64	3.1.1-1ubuntu0.1
libblockdev3:amd64	3.1.1-1ubuntu0.1
libbluetooth3:amd64	5.72-0ubuntu5.5
libbluray2:amd64	1:1.3.4-1build1
libbpf1:amd64	1:1.3.0-2build2
libbpfcc:amd64	0.29.1+ds-1ubuntu7
libbrotli1:amd64	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1.1
libbytesize-common	2.10-1ubuntu2
libbytesize1:amd64	2.10-1ubuntu2
libbz2-1.0:amd64	1.0.8-5.1ubuntu0.1
libc-bin	2.39-0ubuntu8.9
libc6:amd64	2.39-0ubuntu8.9
libcaca0:amd64	0.99.beta20-4ubuntu0.2
libcairo-gobject2:amd64	1.18.0-3build1
libcairo-script-interpreter2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcairomm-1.0-1v5:amd64	1.14.5-1build1
libcamel-1.2-64t64:amd64	3.52.3-0ubuntu1.2
libcanberra-gtk3-0t64:amd64	0.30-10ubuntu10
libcanberra-gtk3-module:amd64	0.30-10ubuntu10
libcanberra-pulse:amd64	0.30-10ubuntu10
libcanberra0t64:amd64	0.30-10ubuntu10
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcares2:amd64	1.27.0-1.0ubuntu1
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libcdparanoia0:amd64	3.10.2+debian-14build3
libcheese-gtk25:amd64	44.1-1build4
libcheese8:amd64	44.1-1build4
libchromaprint1:amd64	1.5.1-5
libcjson1:amd64	1.7.17-1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang1-18	1:18.1.3-1ubuntu1
libclutter-1.0-0:amd64	1.26.4+git2779b932+dfsg-7build3
libclutter-1.0-common	1.26.4+git2779b932+dfsg-7build3
libclutter-gst-3.0-0:amd64	3.0.27-4build1
libclutter-gtk-1.0-0:amd64	1.8.4-4build5
libcodec2-1.2:amd64	1.2.0-2build1
libcogl-common	1.22.8-4ubuntu4
libcogl-pango20:amd64	1.22.8-4ubuntu4
libcogl-path20:amd64	1.22.8-4ubuntu4
libcogl20:amd64	1.22.8-4ubuntu4
libcolord2:amd64	1.4.7-1build2
libcolorhug2:amd64	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrack2:amd64	2.9.6-5.1build2
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.2
libcups2t64:amd64	2.4.7-1.2ubuntu7.14
libcupsfilters2-common	2.0.0-0ubuntu7.2
libcupsfilters2t64:amd64	2.0.0-0ubuntu7.2
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.13
libcurl4t64:amd64	8.5.0-2ubuntu10.13
libdaemon0:amd64	0.14-7.1ubuntu4
libdatrie1:amd64	0.2.13-3build1
libdav1d7:amd64	1.4.1-1build1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdbus-glib-1-2:amd64	0.112-3build2
libdbusmenu-glib4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdconf1:amd64	0.40.0-4ubuntu0.1
libdebconfclient0:amd64	0.271ubuntu3
libdee-1.0-4:amd64	1.2.7+17.10.20170616-7build5
libdeflate0:amd64	1.19-1build1.1
libdevmapper-event1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdjvulibre-text	3.5.28-2ubuntu0.24.04.2
libdjvulibre21:amd64	3.5.28-2ubuntu0.24.04.2
libdouble-conversion3:amd64	3.3.0-1build1
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-nouveau2:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-radeon1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2
libduktape207:amd64	2.7.0+tests-0ubuntu3
libdv4t64:amd64	1.0.0-17.1build1
libdw1t64:amd64	0.190-1.1ubuntu0.1
libeatmydata1:amd64	131-1ubuntu1
libebackend-1.2-11t64:amd64	3.52.3-0ubuntu1.2
libebook-1.2-21t64:amd64	3.52.3-0ubuntu1.2
libebook-contacts-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libecal-2.0-3:amd64	3.52.3-0ubuntu1.2
libedata-book-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedata-cal-2.0-2t64:amd64	3.52.3-0ubuntu1.2
libedataserver-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedataserverui-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libedit2:amd64	3.1-20230828-1build1
libefiboot1t64:amd64	38-3.1build1
libefivar1t64:amd64	38-3.1build1
libegl-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libegl1:amd64	1.7.0-1build1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libenchant-2-2:amd64	2.3.3-2build2
libepoxy0:amd64	1.5.10-1build1
liberror-perl	0.17029-2
libestr0:amd64	0.1.11-1build1
libevdev2:amd64	1.13.1+dfsg-1build1
libevent-core-2.1-7t64:amd64	2.1.12-stable-9ubuntu2.1
libewf2:amd64	20140814-1build3
libexif12:amd64	0.6.24-1ubuntu0.24.04.1
libexo-2-0:amd64	4.18.0-1build4
libexo-common	4.18.0-1build4
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libfastjson4:amd64	1.2304.0-1build1
libfcitx-config4:amd64	1:4.2.9.9-2build2
libfcitx-gclient1:amd64	1:4.2.9.9-2build2
libfcitx-utils0:amd64	1:4.2.9.9-2build2
libfdisk1:amd64	2.39.3-9ubuntu6.6
libffi8:amd64	3.4.6-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libfftw3-single3:amd64	3.3.10-1ubuntu3
libfido2-1:amd64	1.14.0-1build3
libfile-readbackwards-perl	1.06-2
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflashrom1:amd64	1.3.0-2.1ubuntu2
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfontenc1:amd64	1:1.1.8-1build1
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.13-3build1
libftdi1-2:amd64	1.5-6build5
libfuse2t64:amd64	2.9.9-8.1build1
libfuse3-3:amd64	3.14.0-5build1
libfwupd3:amd64	2.0.20-1ubuntu2~24.04.2
libgail-common:amd64	2.24.33-4ubuntu1.1
libgail18t64:amd64	2.24.33-4ubuntu1.1
libgarcon-1-0:amd64	4.18.1-1build3
libgarcon-common	4.18.1-1build3
libgarcon-gtk3-1-0:amd64	4.18.1-1build3
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgck-1-0:amd64	3.41.2-1build3
libgck-2-2:amd64	4.2.0-5
libgcr-4-4:amd64	4.2.0-5
libgcr-base-3-1:amd64	3.41.2-1build3
libgcr-ui-3-1:amd64	3.41.2-1build3
libgcrypt20:amd64	1.10.3-2ubuntu0.2
libgd3:amd64	2.3.3-9ubuntu5
libgdata-common	0.18.1-6build2
libgdata22:amd64	0.18.1-6build2
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgee-0.8-2:amd64	0.20.6-1build2
libgeocode-glib-2-0:amd64	3.26.3-6build3
libgeonames-common	0.3.1-1build2
libgeonames0:amd64	0.3.1-1build2
libgif7:amd64	5.2.2-1ubuntu1.2
libgirepository-1.0-1:amd64	1.80.1-1
libgl1:amd64	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2
libgles2:amd64	1.7.0-1build1
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglibmm-2.4-1t64:amd64	2.66.7-1build1
libglu1-mesa:amd64	9.0.2-1.1build1
libglvnd0:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnome-bluetooth-3.0-13:amd64	46.0-1ubuntu1
libgnome-desktop-3-20t64:amd64	44.0-5build2
libgnome-menu-3-0:amd64	3.36.0-1.1ubuntu3
libgnome-panel3:amd64	1:3.52.0-1ubuntu2
libgnomekbd-common	3.28.1-1build3
libgnomekbd8:amd64	3.28.1-1build3
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6
libgoa-1.0-0b:amd64	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error-l10n	1.47-3build2.1
libgpg-error0:amd64	1.47-3build2.1
libgpgme11t64:amd64	1.18.0-4.1ubuntu4
libgphoto2-6t64:amd64	2.5.31-2.1ubuntu1.1
libgphoto2-l10n	2.5.31-2.1ubuntu1.1
libgphoto2-port12t64:amd64	2.5.31-2.1ubuntu1.1
libgpm2:amd64	1.20.7-11
libgraphene-1.0-0:amd64	1.10.8-3build2
libgraphite2-3:amd64	1.3.14-2ubuntu0.24.04.1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10:amd64	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsm1:amd64	1.0.22-1build1
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8
libgstreamer-gl1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-good1.0-0:amd64	1.24.2-1ubuntu1.5
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-4-1:amd64	4.14.5+ds-0ubuntu0.10
libgtk-4-bin	4.14.5+ds-0ubuntu0.10
libgtk-4-common	4.14.5+ds-0ubuntu0.10
libgtk-4-media-gstreamer	4.14.5+ds-0ubuntu0.10
libgtk2.0-0t64:amd64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtkmm-3.0-1t64:amd64	3.24.9-1
libgtop-2.0-11:amd64	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgudev-1.0-0:amd64	1:238-5ubuntu1
libgusb2:amd64	0.4.8-1build2
libgweather-4-0t64:amd64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libhandy-1-0:amd64	1.8.3-1build2
libharfbuzz-gobject0:amd64	8.3.0-2build2
libharfbuzz-icu0:amd64	8.3.0-2build2
libharfbuzz0b:amd64	8.3.0-2build2
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.8
libheif-plugin-aomenc:amd64	1.17.6-1ubuntu4.8
libheif1:amd64	1.17.6-1ubuntu4.8
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-10build3
